team,name,status,pen_rank,setpiece
Fiorentina,Ranieri L.,ballottaggio,0,0
Fiorentina,Oulai,ballottaggio,0,0
Fiorentina,Mandragora,ballottaggio,3,0
Frosinone,Palmisani,titolare,0,0
Frosinone,Oyono J.,titolare,0,0
Frosinone,Monterisi,titolare,0,0
Frosinone,Calvani,titolare,0,0
Frosinone,Bracaglia,titolare,0,0
Frosinone,Grillitsch,titolare,3,0
Frosinone,Calo,titolare,1,1
Frosinone,Masini,titolare,0,0
Frosinone,Ghedjemis,titolare,0,1
Frosinone,Raimondo,titolare,0,0
Frosinone,Schmid,titolare,2,1
Frosinone,Akpoguma,ballottaggio,0,0
Frosinone,Terzic,ballottaggio,0,0
Frosinone,Cichella,ballottaggio,0,0
Frosinone,Zerbin,ballottaggio,0,0
Genoa,Bijlow,titolare,0,0
Genoa,Marcandalli,titolare,0,0
Genoa,Ostigard,titolare,2,0
Genoa,Vasquez,titolare,0,0
Genoa,Norton-Cuffy,titolare,0,0
Genoa,Frendrup,titolare,0,0
Genoa,Sow,titolare,0,0
Genoa,Ellertsson,titolare,0,0
Genoa,Baldanzi,titolare,0,1
Genoa,Vitinha,titolare,3,1
Genoa,Colombo,titolare,1,0
Genoa,Martin,ballottaggio,0,1
Genoa,Amorim,ballottaggio,0,0
Genoa,Traore,ballottaggio,0,0
Genoa,Meichtry,ballottaggio,0,0
Inter,Martinez Jo.,titolare,0,0
Inter,Akanji,titolare,0,0
Inter,Stones,titolare,0,0
Inter,Bastoni,titolare,0,0
Inter,Spence,titolare,0,0
Inter,Barella,titolare,0,0
Inter,Calhanoglu,titolare,1,1
Inter,Zielinski,titolare,2,1
Inter,Dimarco,titolare,0,1
Inter,Thuram,titolare,0,0
Inter,Martinez L.,titolare,3,0
Inter,Bisseck,ballottaggio,0,0
Inter,Diouf,ballottaggio,0,0
Inter,Sucic,ballottaggio,0,0
Inter,Esposito P.,ballottaggio,0,0
Juventus,Vicario,titolare,0,0
Juventus,Kalulu,titolare,0,0
Juventus,Bremer,titolare,0,0
Juventus,Lucumi,titolare,0,0
Juventus,Cambiaso,titolare,0,1
Juventus,Locatelli,titolare,3,1
Juventus,McKennie,titolare,0,0
Juventus,Conceicao,titolare,0,0
Juventus,Alajbegovic,titolare,0,0
Juventus,Yildiz,titolare,2,1
Juventus,Kolo Muani,titolare,1,0
Juventus,Kelly,ballottaggio,0,0
Juventus,Celik,ballottaggio,0,0
Juventus,Thuram,ballottaggio,0,0
Lazio,Mandas,titolare,0,0
Lazio,Marusic,titolare,0,0
Lazio,Doekhi,titolare,0,0
Lazio,Romagnoli,titolare,0,0
Lazio,Pedraza,titolare,0,0
Lazio,Taylor,titolare,2,0
Lazio,Rovella,titolare,0,1
Lazio,Frattesi,titolare,0,0
Lazio,Cancellieri,titolare,0,0
Lazio,Dia,titolare,0,0
Lazio,Zaccagni,titolare,1,1
Lazio,Floriani Mussolini,ballottaggio,0,0
Lazio,Tavares,ballottaggio,0,0
Lazio,Isaksen,ballottaggio,0,0
Lazio,Ratkov,ballottaggio,0,0
Lazio,Cataldi,,3,1
Lecce,Falcone,titolare,0,0
Lecce,Danilo Veiga,titolare,0,0
Lecce,Gaspar,titolare,0,0
Lecce,Tiago Gabriel,titolare,0,0
Lecce,Gallo,titolare,0,1
Lecce,Coulibaly,titolare,0,0
Lecce,Ngom,titolare,0,0
Lecce,Berisha,titolare,3,1
Lecce,Pierotti,titolare,0,1
Lecce,Geubbels,titolare,1,0
Lecce,N'Dri,titolare,0,0
Lecce,Siebert,ballottaggio,0,0
Lecce,Gorter,ballottaggio,0,0
Lecce,Gandelman,ballottaggio,0,0
Lecce,Stulic,ballottaggio,2,0
Milan,Maignan,titolare,0,0
Milan,Gila,titolare,0,0
Milan,Gabbia,titolare,0,0
Milan,Pavlovic,titolare,0,0
Milan,Saelemaekers,titolare,0,1
Milan,Modric,titolare,3,1
Milan,Rabiot,titolare,0,0
Milan,Bartesaghi,titolare,0,0
Milan,Pulisic,titolare,2,1
Milan,Leao,titolare,0,0
Milan,Ramos G.,titolare,1,0
Milan,Chukwueze,ballottaggio,0,0
Monza,Thiam,titolare,0,0
Monza,Kouadio,titolare,0,0
Monza,Delli Carri,titolare,0,0
Monza,Carboni,titolare,0,0
Monza,Birindelli,titolare,0,0
Monza,Colombo L.,titolare,0,0
Monza,Akinsanmiro,titolare,0,0
Monza,Mangas,titolare,0,0
Monza,Colpani,titolare,0,1
Monza,Mota,titolare,0,1
Monza,Cutrone,titolare,2,0
Monza,Lucchesi,ballottaggio,0,0
Monza,Forson,ballottaggio,0,0
Monza,Robinson,ballottaggio,0,0
Monza,Varela,ballottaggio,0,0
Monza,Pessina,,1,1
Monza,Petagna,,3,0
Napoli,Meret,titolare,0,0
Napoli,Di Lorenzo,titolare,0,0
Napoli,Rrahmani,titolare,0,0
Napoli,Beukema,titolare,0,0
Napoli,Spinazzola,titolare,0,0
Napoli,De Bruyne,titolare,1,1
Napoli,Lobotka,titolare,0,0
Napoli,McTominay,titolare,0,0
Napoli,Politano,titolare,3,1
Napoli,Hojlund,titolare,2,0
Napoli,Alisson Santos,titolare,0,0
Napoli,Buongiorno,ballottaggio,0,0
Napoli,Olivera,ballottaggio,0,0
Napoli,Anguissa,ballottaggio,0,0
Napoli,Vergara,ballottaggio,0,0
Napoli,Neres,ballottaggio,0,1
Parma,Corvi,titolare,0,0
Parma,Delprato,titolare,0,0
Parma,Troilo,titolare,0,0
Parma,Valenti,titolare,0,0
Parma,Valeri,titolare,3,1
Parma,Keita,titolare,0,0
Parma,Nicolussi Caviglia,titolare,0,1
Parma,Bernabe,titolare,0,1
Parma,Frigan,titolare,0,0
Parma,Romero,titolare,2,0
Parma,Toure,titolare,1,0
Parma,Sorensen,ballottaggio,0,0
Parma,Ndiaye,ballottaggio,0,0
Parma,Diallo,ballottaggio,0,0
Parma,Elphege,ballottaggio,0,0
Roma,Svilar,titolare,0,0
Roma,Mancini,titolare,0,0
Roma,N'Dicka,titolare,0,0
Roma,Hermoso,titolare,0,0
Roma,Molina,titolare,0,0
Roma,Kone,titolare,0,0
Roma,Cristante,titolare,0,0
Roma,Wesley,titolare,0,0
Roma,Soule,titolare,0,1
Roma,Dybala,titolare,2,1
Roma,Malen,titolare,1,1
Roma,Koulierakis,ballottaggio,0,0
Roma,Castro,ballottaggio,3,0
Sassuolo,Muric,titolare,0,0
Sassuolo,Walukiewicz,titolare,0,0
Sassuolo,Idzes,titolare,0,0
Sassuolo,Cande,titolare,0,0
Sassuolo,Obrador,titolare,0,0
Sassuolo,Thorstvedt,titolare,0,0
Sassuolo,Matic,titolare,0,0
Sassuolo,Berardi,titolare,1,1
Sassuolo,Adzic,titolare,0,1
Sassuolo,Lauriente,titolare,3,1
Sassuolo,Pinamonti,titolare,2,0
Sassuolo,Missori,ballottaggio,0,0
Sassuolo,Doig,ballottaggio,0,0
Sassuolo,Lipani,ballottaggio,0,0
Sassuolo,Bakola,ballottaggio,0,0
Sassuolo,Bowie,ballottaggio,0,0
Torino,Mascardi,titolare,0,0
Torino,Comuzzo,titolare,0,0
Torino,Coco,titolare,0,0
Torino,Comert,titolare,0,0
Torino,Pedersen,titolare,0,0
Torino,Gineitis,titolare,0,1
Torino,Fitz-Jim,titolare,0,0
Torino,Cacciamani,titolare,0,0
Torino,Casadei,titolare,0,0
Torino,Vlasic,titolare,1,1
Torino,Simeone,titolare,3,0
Torino,Ismajli,ballottaggio,0,0
Torino,Oristanio,ballottaggio,0,1
Torino,Kulenovic,,2,0
Udinese,Okoye,titolare,0,0
Udinese,Bertola,titolare,0,0
Udinese,Kabasele,titolare,0,0
Udinese,Solet,titolare,2,0
Udinese,Vojvoda,titolare,0,0
Udinese,Piotrowski,titolare,0,0
Udinese,Karlstrom,titolare,0,0
Udinese,Kamara,titolare,0,0
Udinese,Zaniolo,titolare,3,1
Udinese,Ekkelenkamp,titolare,0,1
Udinese,Davis,titolare,1,0
Udinese,Palma,ballottaggio,0,0
Udinese,Unai Gomez,ballottaggio,0,1
Udinese,Miller,ballottaggio,0,0
Venezia,Stankovic,titolare,0,0
Venezia,Schingtienne,titolare,0,0
Venezia,Bella-Kotchap,titolare,0,0
Venezia,Halhal,titolare,0,0
Venezia,Hainaut,titolare,0,0
Venezia,Kike Perez,titolare,0,1
Venezia,Busio,titolare,0,1
Venezia,Basic,titolare,0,0
Venezia,Haps,titolare,0,0
Venezia,Yeboah,titolare,0,1
Venezia,Akor Adams,titolare,1,0
Venezia,Moreno,ballottaggio,0,0
Venezia,Correia,ballottaggio,0,0
Venezia,Sohm,ballottaggio,0,0
Venezia,Rrahmani Al.,ballottaggio,2,0
Venezia,Adorante,,3,0
